trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.05, 'e': 0.28}",25,12,21.985444942275862,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.05, 'e': 0.275}",20,15,10.32347188773984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.05, 'e': 0.27}",30,11,-59.10637712752866,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.05, 'e': 0.265}",20,10,20.25444192053484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.05, 'e': 0.26}",20,1,36.851663491758536,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.05, 'e': 0.255}",25,19,5.665437727754391,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.05, 'e': 0.25}",20,0,21.510560066804324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.05, 'e': 0.245}",20,4,-78.83667529866685,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
152,False,"{'a': 0.05, 'e': 0.24}",20,13,12.993599832945755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.05, 'e': 0.235}",20,13,12.203644204263762,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.22999999999999998}",30,10,12.16131378372446,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.22499999999999998}",30,11,9.896857143439314,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.05, 'e': 0.21999999999999997}",20,9,4.706764364724237,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.05, 'e': 0.21499999999999997}",20,0,12.246152971256647,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.05, 'e': 0.20999999999999996}",20,9,18.160762188795143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.05, 'e': 0.20499999999999996}",20,3,10.946518582832246,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.05, 'e': 0.19999999999999996}",20,10,13.618855194970376,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.05, 'e': 0.19499999999999995}",30,8,22.490849839947067,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.18999999999999995}",25,18,6.720858978714972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.18499999999999994}",20,8,-33.03596156296352,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.05, 'e': 0.17999999999999994}",30,16,3.9834840468298562,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.05, 'e': 0.17499999999999993}",20,13,8.44881557296385,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.05, 'e': 0.16999999999999993}",25,19,11.703895582755896,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.05, 'e': 0.16500000000000004}",35,20,12.040942130582792,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.05, 'e': 0.16000000000000003}",20,4,24.636802942425344,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.05, 'e': 0.15500000000000003}",30,7,40.714483281245315,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.05, 'e': 0.15000000000000002}",20,12,5.4646420710823715,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.05, 'e': 0.14500000000000002}",25,4,21.36530559286569,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.14}",25,15,4.676802192144938,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.135}",20,10,-9.198761969630452,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.13}",20,15,9.085544586688062,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.05, 'e': 0.125}",20,8,11.066133615708184,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.05, 'e': 0.12}",25,0,33.1470170676721,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.05, 'e': 0.11499999999999999}",25,11,2.0435410552183146,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.10999999999999999}",20,1,-6.369062056072156,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.05, 'e': 0.10499999999999998}",20,5,28.53085014477871,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.05, 'e': 0.09999999999999998}",20,13,15.086410331423512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.09499999999999997}",25,3,19.86196684039395,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.05, 'e': 0.08999999999999997}",25,18,2.4789630178581565,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.05, 'e': 0.08499999999999996}",30,22,16.02742230957153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.05, 'e': 0.07999999999999996}",20,10,14.503409000128329,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.05, 'e': 0.07499999999999996}",30,19,13.530560097760652,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.05, 'e': 0.06999999999999995}",20,0,12.566012540805316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
187,False,"{'a': 0.05, 'e': 0.06499999999999995}",20,0,17.68273128556103,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
188,False,"{'a': 0.05, 'e': 0.05999999999999994}",30,18,21.191131626636363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.05, 'e': 0.05499999999999994}",20,16,7.738305013589745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.05, 'e': 0.04999999999999993}",25,3,35.56494561812837,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
